"Story","Title","Result","Date","Stability","Duration (s)"
"Client Time slot","Booking a Client Time Slot","ERROR","2021-07-07T13:21:21.6567145+01:00[Europe/London]","0.0","5.06"
"Client Time slot","Editing a booked Client Time Slot","SUCCESS","2021-07-07T13:21:26.8360009+01:00[Europe/London]","0.0","4.98"
"Client Time slot","Deleting a booked Client Time Slot","SUCCESS","2021-07-07T13:21:31.8482238+01:00[Europe/London]","0.0","2.86"
"Training slot","Booking a Training Slot","ERROR","2021-07-07T13:21:34.7213318+01:00[Europe/London]","0.0","4.75"
"Training slot","Editing a booked Training Slot","ERROR","2021-07-07T13:21:39.5151596+01:00[Europe/London]","0.0","4.71"
"Training slot","Deleting a booked Training Slot","SUCCESS","2021-07-07T13:21:44.2447093+01:00[Europe/London]","0.0","2.84"
"Wow Chat slot","Booking a WOW Chat Slot","ERROR","2021-07-07T13:21:47.1234196+01:00[Europe/London]","0.0","4.78"
"Wow Chat slot","Editing a booked WOW Chat Slot","ERROR","2021-07-07T13:21:51.9559751+01:00[Europe/London]","0.0","12.44"
"Wow Chat slot","Deleting a booked WOW Chat Slot","ERROR","2021-07-07T13:22:04.4288912+01:00[Europe/London]","0.0","3.67"
